Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Grow Enoki Mushrooms	Growing Enoki Mushrooms from a Starter Kit	 (...) 4. Keep the grow block in a cool, dark place. (...) You could also leave your grow block in a shady spot outside, as long as temperatures don’t drop below freezing. (...) 	Wait 2-4 weeks for the first ______ of mushrooms to appear.	First, a fuzzy white substance called mycelium will appear on the outside of the block.	specimen	4	stage	4	pile	2	batch	4.5	section	3.5
How to Treat a Dog's Bladder Infection	Determining the Cause of a Bladder Infection	 (...) 2. Take your dog to be seen by a veterinarian. (...) Your vet will be able to assess the severity of the infection and create a treatment plan that will help clear up your dog's infection. (...) 3.	Test the dog's ______ to identify the cause of the bladder infection.	It is often possible to identify the cause of infection, which could be urinary crystals, a bladder stone, a bladder polyp, or bladder cancer.	movement	3	antibiotics	1	metabolism	2.5	discomfort	3.5	urine	3.5
How to Make an Asian Food Style Picture Frame	Steps	 1. Fold the black construction paper in half, and cut out a rectangle. (...) 4. Glue two ends of a piece of string on the back, so that the frame can be hung. 5.	Take some ucooked ______ of rice and arrange it on the bottom edge only! When you are satisfied with the way things look, take liquid glue and spread it over the rice.	6. On the top, take some toothpicks and arrange them so that they are overlapping to represent chopsticks.	containers	4	seeds	3.5	container	2.5	bowl	4.5	grains	5
How to Become a Petite Model	Doing Your Research	 1. Acknowledge your modeling opportunities. (...) * Body type matters more than height for swimsuit modeling. 	A fit and curvaceous ______ is more desired than a tall height for women in swimsuit modeling.	For men, a fit and athletic body is more important than height.	belly	2.5	shoulders	1	outfit	1.5	body	5	structure	3
How to Make Nigerian Puff‐Puffs	Ingredients	 *	of Active dry yeast	* Flour	breakdown	3.5	indication	2.5	analysis	3	addition	2.5	Teaspoons	4.5
How to Make Napkin Rings from Paper Towel Holders	Steps	 1. Use a paper towel tube, after using the last towel. 	Cut the cardboard holder across the length, using a ______ of scissors.	2. Cut across the width, approximately 2"" strips.	pair	5	team	1.5	branch	1	box	1	frame	1
How to Beat a Taller and Bigger Opponent in a Street Fight	Tips	 (...) * Never fight fair, you're already on a disadvantage because of his size advantage. (...) * Play dirty- kick his groin, finger jab his eyes, throw a chopping blow in his throat, bite his ear( like Iron Mike against a bigger Holyfield). 	A hair grab is a very effective and practical ______ leaving him a lesser chance for mobility, by pulling his head in a downward direction will give you the opportunity to throw an uppercut or knee to the face.	* Train yourself in a heavy bag for you to acquire and develop power.	grab	3	move	5	plan	3	advantage	2.5	response	4
How to Start a Fad	Steps	 (...) 8. It took a while before people had picked up on it, and I had to be persistent in keeping the Fad up, but now I can't remember the last High Five I gave (To someone under 45) :) (...) 9. So there you have it: pick out your fad; exhibit confidence every time you wear, display, express, or execute your fad; and persist in exhibiting your fad. 	Stick to those ______ and who knows you might bring back Hammer Pants... well maybe not, but you never know till you try.		matches	2.5	principles	5	techniques	4.5	patterns	4	lights	1
How to Talk to a Schizophrenic	Learning about Schizophrenia	 1. Recognize symptoms of schizophrenia. 	Some ______ are more noticeable than others, but by getting a sense of even the symptoms you don't observe, you will have a better sense of what the person you are talking to may be going through.	Signs of schizophrenia can include:	feelings	1.5	signs	4.5	areas	1.5	changes	2.5	phenomena	4
How to Make Natural Deodorant with Arrowroot Powder	Ingredients to Purchase	 * Coconut oil * Baking soda 	of Bergamot oil (optional)		ingredients	3.5	samples	2.5	container	4	drops	4	consumption	2.5
How to Reuse Dead Flowers	Making Potpourri	 1. Collect ingredients you'd like to use in your potpourri. 	If your dead flower arrangement is limited or unvaried in color, you can augment the ______ of the petals with other plants.	Petals from different flowers work well, as do herbs such as rosemary, thyme, and sage.	color	4.5	thickness	2	image	3	construction	4	arrangement	4
How to Help Your Child Accept a New Baby	Steps	 1. Talk to your child frequently about the new baby's arrival long before the baby is actually due. (...) Try a few of the following ideas: *	Explain the ______ of things that will happen before, when, and after the baby is born over and over so that your child is prepared for what can be confusing times.	* Read stories to your child about new babies that show positive models for how older siblings should behave.	significance	4	kinds	3.5	millions	4	mechanism	4.5	logic	4
How to Cite Lecture Notes	Citing in the Body of the Essay	 (...) 2. Include a lecture in a footnote source. (...) * Next, in parentheses, include the word ""lecture,"" followed by the name of the institution, the city and state where it took place, and the date. 	Separate these ______ with commas.	* Months should not be abbreviated in the date (e.g. February 16, 2009).	elements	4	points	2.5	sentences	3.5	sections	5	references	3
How to Have a Birthday Party on Animal Jam	Related wikiHows.	 Having trouble throwing a party on Animal Jam? 	Read this ______, step by step, and you will know how.		article	4	scroll	3	shit	3	text	4	section	3.5
How to Live Like an Essene	Steps	 1. Accept Yeshua as Messiah and Savior. 2.	Be immersed in the ______ of mikveh, witnessed by an Orthodox Essene shaliach (apostle) of Yeshua.	3. Adhere to Torah.	city	4	ordination	2.5	celebration	5	waters	4	liturgy	4.5
How to Diagnose a Yeast Infection at Home	Knowing the Risk Factors	 1. Know that antibiotic treatments can occasionally lead to a yeast infection. Prolonged periods of antibiotic treatment not only kill the bacterial pathogen inside the body but may also kill the “good bacteria” in the body. 	This may cause an imbalance in the flora of the mouth, skin, and the vagina, which may cause the ______ of yeast.	2. Understand that pregnant women are have a higher risk of getting a yeast infection.	origin	1.5	growth	5	emission	3	overgrowth	5	elimination	2
How to Install a Rear View Camera	Installing the Camera Cables	 (...) 8. Fuse your camera wires with the reverse light wires. Attach 1 of your bare wire cables to the camera cord’s power connector. 	Then, poke your bare wires through the ______ of the exposed reverse light wires and twist them together.	For safety, make sure you wrap the combined wires in electrical tape.	interior	3.5	center	3	majority	3	fibers	3.5	areas	4.5
How to Make a Swing	Making a Tire Swing	 (...) * The major difference is that more clearance away from the trunk is required for tire swings compared to rope swings, as tire swings are designed for more sideways movement. Allow at bare minimum 4 feet of space between the attachment point and the tree trunk. 	Even more ______ may be required if the branch you pick is higher than 10 feet.	3. Gather your materials.	leverage	2	space	4.5	flexibility	3	isolation	3	land	3.5
How to Improve Your Math Grade	Improving Your Classroom Skills	 (...) 2. Pay attention and participate in the classroom discussion. (...) * Try to avoid looking out the window, daydreaming, or letting your mind wander to your after-school plans. 	While these ______ may seem more enjoying than following the math lecture, too much daydreaming will result in poor math grades.	3. Ask your teacher if you have any questions.	memories	3	activities	4.5	suggestions	1	trips	4	meetings	4
How to Do Manual Backups on a Macintosh	Steps	 1. Figure out what model and size external hard drive you need. (...) With a little searching you can probably find a good quality drive on sale. 	Connect the external ______ to your computer.	You'll most likely get a pop up message asking if you want to Initialize the newly connected drive and you should click Initialize.	drive	4.5	container	2	key	1.5	laptop	3	components	5
How to Play Chess Online	Adjusting the Settings	 1. Click on ""Play a Friend"" before you start a game, if you want to. Then look your friends up by username. 	Click on your opponent's ______ to start playing against your friends.	2. Press ""Play"" to automatically play against the computer.	list	2.5	facebook	3.5	address	1.5	name	5	icons	5
How to Like Blood on the Dance Floor Without Getting Harassed or Any Hate	Tips	 (...) * Get the duo's genre right. (...) These are all rock genres and Blood on the Dance Floor aren't rock at all. *	If someone says they hate your ______ of music, just be calm about it.		interpretation	5	style	3	notion	3	family	1.5	passion	4
How to Cook Rice	Intro	 Cooking a pot of rice is one of those everyday things that everyone has to do, but there is often confusion about the best method for doing it. One of the biggest problems you want to avoid is rice sticking to the base of the pot, or burning completely. 	Beyond that, you'll also want to ensure that the rice is of the consistency that suits the meal you're adding it to, yet with over 2000 ______ of rice, it's not always obvious what to do!	The techniques outlined in this article provide you with a choice of approaches, each of which should result in excellent rice.	seeds	1.5	types	3.5	gallons	1.5	layers	2.5	bowls	3.5
How to Make a Banana Hair Mask	Preparing a Banana Milkshake Hair Mask	 (...) 2. Stream in the milk to thin out the banana. (...) * It’s best to start with a small amount of milk and then mix the two together to check the consistency. 	Only add more ______ if the mask is too thick.	3. Apply the mask to dry hair.	layers	4.5	oil	2	milk	5	fruits	4	cinnamon	3
